139504995	522680774	1.0	(30,)	30
219621643	55101697	1.0	(0,)	0
673571250	47553373	1.0	(0,)	0
673571250	20443049	1.0	(0,)	0
146584003	125260461	1.0	(0,)	0
146584003	145641793	1.0	(0,)	0
185913819	21827001	1.0	(0,)	0
185913819	62595539	1.0	(0,)	0
185913819	136382961	1.0	(0,)	0
185913819	62663660	1.0	(0,)	0
185913819	129108719	1.0	(0,)	0
185913819	138686063	1.0	(0,)	0
185913819	41930132	1.0	(0,)	0
185913819	28283689	1.0	(0,)	0
185913819	173687771	1.0	(0,)	0
185913819	192182398	1.0	(0,)	0
32660551	278501824	1.0	(0,)	0
476643128	455993452	1.0	(714,)	714
476643128	30171560	1.0	(714,)	714
517438787	426610738	1.0	(731,)	731
50684398	28283689	1.0	(0,)	0
50684398	77669901	1.0	(0,)	0
50684398	43197130	1.0	(0,)	0
50684398	267086754	1.0	(0,)	0
50684398	126340563	1.0	(0,)	0
50684398	233024443	1.0	(0,)	0
52650914	82173521	1.0	(776,)	776
191518091	81463115	1.0	(0,)	0
471811595	87067909	1.0	(0,)	0
429369796	39176572	1.0	(2869,)	2869
31723226	14371185	1.0	(2269,)	2269
50684398	12585713	1.0	(0,)	0
50684398	47071880	1.0	(0,)	0
50684398	158636407	1.0	(0,)	0
50684398	120568022	1.0	(0,)	0
138686063	94707429	1.0	(0,)	0
138686063	28283689	1.0	(0,)	0
138686063	123075082	1.0	(0,)	0
138686063	32787655	1.0	(0,)	0
138686063	54041313	1.0	(0,)	0
138686063	29103119	1.0	(0,)	0
138686063	47071880	1.0	(0,)	0
138686063	54525106	1.0	(0,)	0
138686063	525706750	1.0	(0,)	0
138686063	233024443	1.0	(0,)	0
49045679	20650721	1.0	(0,)	0
49045679	26306692	1.0	(0,)	0
49045679	43197130	1.0	(0,)	0
49045679	464938702	1.0	(0,)	0
49045679	118342490	1.0	(0,)	0
49045679	123075082	1.0	(0,)	0
49045679	468031986	1.0	(0,)	0
49045679	77669901	1.0	(0,)	0
49045679	206990465	1.0	(0,)	0
49045679	37799181	1.0	(0,)	0
44099416	9679595	1.0	(0,)	0
154238168	157307265	1.0	(2714,)	2714
45184940	52277205	1.0	(2941,)	2941
45184940	30131260	1.0	(2941,)	2941
41245072	29103119	1.0	(0,)	0
41245072	26306692	1.0	(0,)	0
41245072	136382961	1.0	(0,)	0
41245072	25454398	1.0	(0,)	0
41245072	173687771	1.0	(0,)	0
41245072	62663660	1.0	(0,)	0
41245072	55607419	1.0	(0,)	0
41245072	93589410	1.0	(0,)	0
41245072	118342490	1.0	(0,)	0
41245072	41930132	1.0	(0,)	0
77513372	475621112	1.0	(324,)	324
77513372	60709283	1.0	(324,)	324
179896802	192182398	1.0	(0,)	0
179896802	464938702	1.0	(0,)	0
179896802	468031986	1.0	(0,)	0
179896802	46834933	1.0	(0,)	0
179896802	41930132	1.0	(0,)	0
179896802	54525106	1.0	(0,)	0
179896802	94707429	1.0	(0,)	0
179896802	38718052	1.0	(0,)	0
179896802	112034182	1.0	(0,)	0
179896802	138686063	1.0	(0,)	0
37799181	192182398	1.0	(0,)	0
37799181	233024443	1.0	(0,)	0
37799181	54525106	1.0	(0,)	0
37799181	49045679	1.0	(0,)	0
37799181	40051564	1.0	(0,)	0
37799181	112066197	1.0	(0,)	0
37799181	20650721	1.0	(0,)	0
37799181	46834933	1.0	(0,)	0
37799181	184325380	1.0	(0,)	0
37799181	118342490	1.0	(0,)	0
76752131	50450455	1.0	(759,)	759
76752131	44365677	1.0	(759,)	759
